source_number|name|ra|dec|error_radius|snr|y5r500|y5r500_error|redshift|redshift_source_name|mass_sz|mass_sz_pos_err|mass_sz_neg_err
340|PSZ2-G080.37+14.64|192611.2|+483322|1.706887|8.14551|3.96355e-03|1.10747e-03|0.098000|RXCJ1926.1+4833|3.096608|0.191892|0.217195
341|PSZ2-G080.41-33.24|222609.5|+172236|2.419546|8.68015|3.33852e-03|9.02037e-04|0.107200|RXCJ2226.0+1722|3.774048|0.266256|0.275252
342|PSZ2-G080.55-24.82|220325.2|+235438|3.689999|5.13550|8.59055e-04|2.14456e-04|0.266227|RMJ220325.8+235418.7|4.279973|0.504392|0.546027
343|PSZ2-G080.64+64.31|142719.5|+440751|2.324870|5.30269|9.58789e-04|3.64103e-04|0.502080|RMJ142716.1+440730.6|5.225707|0.570539|0.608176
344|PSZ2-G080.65-46.81|230057.6|+064658|2.428466|7.69433|1.07537e-02|3.17389e-03|0.042000|RBS1929|1.955792|0.170943|0.178457
345|PSZ2-G080.70+48.31|155311.7|+510854|2.428355|4.66116|1.95179e-03|9.83120e-04|0.235400|RXCJ1553.3+5107|3.198215|0.410853|0.410636
346|PSZ2-G081.00-50.93|231135.6|+033743|2.428897|10.07041|3.76202e-03|8.57791e-04|0.299800|RXCJ2311.5+0338|7.483999|0.412306|0.455547
347|PSZ2-G081.02+50.57|153914.0|+503649|2.428903|4.76356|2.48253e-03|1.59245e-03|0.500574|RMJ153906.4+503644.9|4.691208|0.548593|0.522917
348|PSZ2-G081.22-41.95|225024.6|+105450|2.428781|5.49883|3.16529e-03|1.29252e-03|0.076800|RXCJ2250.3+1054|2.237844|0.269264|0.289521
349|PSZ2-G081.31-68.56|235416.6|-102643|3.840445|7.78224|4.69194e-03|1.37709e-03|0.076500|RXCJ2354.2-1024|2.761984|0.216913|0.225417
350|PSZ2-G081.56+26.51|181623.1|+531456|2.428417|5.31120|1.50551e-03|6.43488e-04|0.276400|RXCJ1816.4+5314|4.014786|0.472767|0.489170
351|PSZ2-G081.60+18.47|190703.1|+510645|2.428897|5.57701|1.00494e-03|3.45435e-04|||||
352|PSZ2-G081.72+70.15|140023.9|+410046|2.763720|5.48548|1.84385e-03|6.62327e-04|0.250479|RMJ140026.7+410140.5|4.160481|0.415723|0.469476
353|PSZ2-G082.06+27.23|181209.9|+534842|2.428699|5.32967|9.81434e-04|3.69621e-04|||||
354|PSZ2-G082.31-67.00|235145.7|-085800|2.035749|6.13725|1.20534e-03|4.45721e-04|0.393900|WHLJ357.962-8.991|5.901285|0.546670|0.565199
355|PSZ2-G082.37+22.35|184431.6|+530045|2.427922|5.92958|1.44434e-03|5.37967e-04|||||
356|PSZ2-G082.88-75.10|001155.8|-152355|5.377223|4.94476|1.21237e-03|4.69100e-04|0.378000|MACSJ0011.7-1523|5.062408|0.578726|0.625683
