source_number|name|ra|dec|error_radius|snr|y5r500|y5r500_error|redshift|redshift_source_name|mass_sz|mass_sz_pos_err|mass_sz_neg_err
403|PSZ2-G089.52+62.34|142207.2|+482837|3.566738|6.60505|4.04903e-03|1.11911e-03|0.070077|RMJ142210.2+483414.7|1.828382|0.186225|0.197580
404|PSZ2-G089.81-39.56|230712.1|+163035|2.428880|6.85355|3.89119e-03|1.36672e-03|0.250200|RXCJ2307.0+1631|6.062336|0.520372|0.546168
405|PSZ2-G089.99-43.91|231642.4|+124845|2.428818|4.86368|1.22488e-03|4.74476e-04|0.523709|RMJ231643.0+124654.6|6.277305|0.743039|0.820047
406|PSZ2-G090.04+34.09|172321.0|+605903|2.209530|5.44137|6.20787e-04|1.62189e-04|0.267000|NSCJ172316+610027|3.574059|0.365707|0.381641
407|PSZ2-G090.12-13.87|220340.3|+380522|4.910665|4.86867|2.85555e-03|1.35469e-03|||||
408|PSZ2-G090.62+33.52|172746.5|+613031|1.878932|6.34438|1.08629e-03|3.09342e-04|0.307000|ZwCl1726.9+6132|4.385515|0.368860|0.391816
409|PSZ2-G090.66-52.34|233455.2|+053957|2.428850|5.95241|2.82420e-03|1.27101e-03|0.196717|RMJ233500.9+053557.0|4.318932|0.426256|0.434345
410|PSZ2-G091.27-38.62|230920.3|+175343|6.228026|5.52388|1.52138e-03|5.34249e-04|||||
411|PSZ2-G091.40-51.01|233400.7|+070326|2.428894|5.49507|3.56289e-03|1.54664e-03|0.099000|RXCJ2334.0+0704|2.682528|0.304661|0.309090
412|PSZ2-G091.56+08.50|203615.9|+545901|5.884422|4.77357|2.40486e-03|9.16600e-04|||||
413|PSZ2-G091.79-27.00|224526.5|+280840|2.252529|6.97662|2.64699e-03|6.92349e-04|0.361735|RMJ224527.7+280900.8|6.312871|0.474289|0.480005
414|PSZ2-G091.83+26.11|183108.0|+621453|0.947772|10.48808|1.02933e-03|1.27375e-04|0.822000||7.431430|0.406395|0.405060
415|PSZ2-G092.11-33.73|230137.4|+222900|3.839991|5.81424|3.18954e-03|9.99484e-04|||||
416|PSZ2-G092.16-66.01|000309.1|-060420|2.034550|9.34780|4.40664e-03|9.54066e-04|0.232000|RXCJ0003.1-0605|5.957353|0.368165|0.369144
417|PSZ2-G092.30-55.75|234442.2|+030537|2.428071|4.81067|1.72936e-03|8.45704e-04|0.349000|ZwCl2341.8+0251|5.136878|0.654356|0.729518
418|PSZ2-G092.34+14.22|200406.7|+584339|2.117233|5.54076|8.29156e-04|3.64318e-04|||||
419|PSZ2-G092.46-35.22|230550.1|+211928|2.427312|6.72739|5.23999e-03|1.92746e-03|||||
420|PSZ2-G092.64+20.78|191644.6|+614049|2.389946|5.12186|7.55905e-04|2.87772e-04|||||
421|PSZ2-G092.69+59.92|142632.3|+511508|2.428786|4.90125|2.52427e-03|1.38816e-03|||||
422|PSZ2-G092.71+73.46|133512.3|+410001|1.222960|17.62787|6.08506e-03|6.80894e-04|0.227900|RXCJ1335.3+4059|8.126019|0.262961|0.272194
423|PSZ2-G093.04-32.38|230142.6|+240225|4.501294|6.03185|3.64696e-03|1.15983e-03|||||
424|PSZ2-G093.41-16.26|222354.9|+380025|3.833472|4.59080|1.29714e-03|5.50930e-04|||||
425|PSZ2-G093.42-43.21|232420.7|+143627|4.626034|6.34930|9.63520e-03|2.56826e-03|0.042800|A2593|1.819961|0.174677|0.182451
426|PSZ2-G093.71-30.90|230044.1|+253641|4.882345|5.00123|1.95513e-03|6.62467e-04|||||
427|PSZ2-G093.92+34.92|171244.3|+640332|2.428869|26.50315|2.02546e-02|1.52738e-03|0.080900|RXCJ1712.7+6403|5.382814|0.058649|0.061203
428|PSZ2-G093.93-82.22|003524.0|-201615|1.746301|8.70044|2.48051e-03|5.41679e-04|0.352000|MACSJ0035.4-2015|7.006990|0.449905|0.497905
429|PSZ2-G093.94+13.75|201319.4|+595002|3.241467|4.88971|9.09702e-04|3.10097e-04|||||
430|PSZ2-G093.94-38.82|231727.7|+184204|5.051853|7.64744|1.28143e-02|2.72891e-03|0.042200|A2572a|2.219411|0.175531|0.158239
431|PSZ2-G094.00+27.41|182156.7|+642056|1.237510|13.77782|2.04531e-03|2.92043e-04|0.331500|H1821+643Cluster|6.776592|0.262317|0.270717
432|PSZ2-G094.31-11.31|221257.6|+423444|2.275970|4.72450|8.79997e-04|2.27648e-04|||||
433|PSZ2-G094.44+36.13|170109.6|+641421|2.420938|5.11120|6.41704e-04|2.48534e-04|0.453000|BVH2007211|4.085831|0.423724|0.432973
434|PSZ2-G094.46-69.65|001248.7|-085702|2.442809|5.76871|1.11965e-03|2.84330e-04|0.352111|RMJ001257.7-085829.5|5.450527|0.546368|0.583616
435|PSZ2-G094.56+51.03|150814.7|+575330|2.143555|7.76994|1.09986e-03|2.84925e-04|0.539200|WHLJ227.050+57.90|5.867250|0.437587|0.433841
436|PSZ2-G094.61-41.24|232357.5|+164556|2.428883|5.53902|1.06247e-02|4.64949e-03|0.041600|A2589|1.764304|0.225754|0.241010
437|PSZ2-G094.69+26.36|183225.2|+644940|2.438105|7.72290|3.18826e-03|7.72290e-04|0.162300|RXCJ1832.5+6449|3.072615|0.222277|0.240128
438|PSZ2-G095.00-37.14|231725.5|+203425|6.222790|4.92711|1.43444e-03|4.94450e-04|||||
439|PSZ2-G095.22+67.41|135124.6|+462121|6.158392|4.77328|2.65261e-03|9.51615e-04|0.062500|RXCJ1351.7+4622|1.501908|0.205194|0.217059
440|PSZ2-G095.29+44.13|155232.3|+620316|2.101309|6.24279|1.66194e-03|5.72930e-04|0.330785||4.034956|0.331471|0.369413
441|PSZ2-G095.39+14.43|201428.9|+612321|2.134527|7.47705|3.07166e-03|7.62328e-04|0.119000||3.179100|0.191226|0.216136
442|PSZ2-G095.49+16.41|200009.3|+622638|2.381182|6.25610|1.00861e-03|3.51414e-04|0.300000||4.718108|0.475623|0.491015
443|PSZ2-G095.65-50.01|234202.1|+090836|6.318312|5.70084|5.00309e-03|1.82785e-03|0.488066|RMJ234213.7+091404.1|6.000246|0.574939|0.665130
444|PSZ2-G095.75-11.16|221848.7|+433048|2.936183|5.32545|2.12235e-03|1.47701e-03|||||
445|PSZ2-G096.10+12.46|203118.9|+605439|5.078950|5.08754|3.83309e-03|1.35023e-03|||||
446|PSZ2-G096.14+56.24|143521.3|+550829|2.786309|6.58087|4.00886e-03|1.48181e-03|0.139773|RMJ143528.5+550752.3|2.771250|0.235886|0.259524
447|PSZ2-G096.43-20.89|224808.7|+353321|3.022222|5.80509|3.37613e-03|1.14513e-03|||||
448|PSZ2-G096.77-50.29|234508.3|+091051|5.972611|5.43034|5.04090e-03|1.74182e-03|0.040000|RXCJ2344.9+0911|1.471990|0.180207|0.189026
449|PSZ2-G096.78-50.20|234500.3|+091604|8.879563|4.67218|5.36130e-03|2.06324e-03|0.068723||2.002929|0.233090|0.247649
450|PSZ2-G096.83+52.49|145259.7|+580212|1.669823|7.37511|1.57782e-03|4.30234e-04|0.317900|RXCJ1452.9+5802|4.924279|0.377383|0.369120
451|PSZ2-G096.88+24.18|185640.9|+662240|1.511894|8.11239|1.02062e-03|2.34923e-04|0.300000|ZwCl1856.8+6616|4.689639|0.297043|0.305380
452|PSZ2-G096.99-53.64|235058.1|+060916|5.121206|5.65452|3.23352e-03|1.26951e-03|0.056200|RXCJ2350.8+0609|1.856202|0.210473|0.220559
453|PSZ2-G097.15+39.20|162736.8|+652347|2.624411|5.59471|1.85212e-03|6.90766e-04|0.205800|ABELL2207|2.944873|0.296941|0.340448
454|PSZ2-G097.37-17.11|224242.9|+391656|2.428135|4.73978|1.19913e-03|5.31406e-04|||||
455|PSZ2-G097.52+51.70|145515.9|+585231|2.058209|5.69920|6.45251e-04|1.86198e-04|0.700000||5.179367|0.497387|0.514907
456|PSZ2-G097.52-14.89|223730.4|+411642|4.419146|5.50372|8.22721e-03|3.70672e-03|||||
457|PSZ2-G097.72+38.12|163554.6|+661208|1.243777|22.77627|5.88160e-03|5.62585e-04|0.170900|RXCJ1635.8+6612|6.585151|0.159879|0.164212
458|PSZ2-G097.78+46.95|152412.6|+620122|2.428911|4.50888|4.78293e-03|2.82369e-03|0.337800|ACO2077|3.428005|0.455388|0.322587
459|PSZ2-G097.94+19.43|194419.3|+655045|2.478778|6.39656|2.07505e-03|5.52755e-04|0.245000|4C65.28|3.983875|0.300475|0.324589
460|PSZ2-G098.10+30.30|175432.8|+680226|2.017877|10.17601|4.77118e-03|9.60022e-04|0.077000|RXCJ1754.6+6803|2.397326|0.141346|0.148827
461|PSZ2-G098.30-41.15|233423.3|+180001|2.428705|6.02218|4.74711e-03|2.81130e-03|0.436000|WHLJ353.600+17.98|7.049448|0.581313|0.634627
462|PSZ2-G098.38+77.22|131825.4|+383507|2.428900|5.50989|1.04189e-03|3.28425e-04|||||
463|PSZ2-G098.39+57.68|142216.7|+545404|1.960981|5.07972|6.33562e-04|1.50851e-04|||||
464|PSZ2-G098.44+56.59|142707.0|+554459|5.088494|6.62761|3.48558e-03|1.36967e-03|0.131838|RMJ142724.6+554500.0|2.828180|0.281761|0.255533
465|PSZ2-G098.62+51.76|145118.5|+591950|2.427745|4.53774|7.91057e-04|3.48969e-04|||||
466|PSZ2-G098.64+23.20|191020.4|+674236|2.419417|4.67415|1.07616e-03|4.53349e-04|0.247100|RXCJ1910.4+6741|3.390972|0.451926|0.490466
467|PSZ2-G098.67-07.04|221925.5|+483222|2.272928|6.29881|2.25922e-03|6.11066e-04|||||
468|PSZ2-G098.75-28.63|231345.8|+293642|3.546250|4.74115|1.26114e-03|3.99489e-04|||||
469|PSZ2-G098.97+24.86|185351.5|+682238|1.312193|9.56377|1.84465e-03|4.32666e-04|0.092800|RXCJ1853.9+6822|2.583254|0.155125|0.157015
470|PSZ2-G099.24+42.54|155209.1|+652026|2.428019|4.50267|1.25050e-03|6.25484e-04|0.223100|NSCJ155245+652132|2.802261|0.382507|0.390415
471|PSZ2-G099.30+20.92|193514.0|+673526|1.677451|8.46920|3.85366e-03|1.09580e-03|0.170600|RXCJ1935.3+6734|3.921021|0.228160|0.243544
472|PSZ2-G099.38+25.19|185100.5|+684823|1.970238|6.56803|6.92915e-04|2.15558e-04|0.350000||4.244147|0.333486|0.368195
474|PSZ2-G099.48+37.72|163441.1|+673832|2.750293|5.57902|1.82755e-03|6.79229e-04|0.166800|RXCJ1634.6+6738|2.506282|0.263870|0.297757
473|PSZ2-G099.48+55.60|142835.6|+565236|1.906773|8.08447|2.80121e-03|6.99212e-04|0.105100|RXCJ1428.4+5652|2.811942|0.211048|0.218740
475|PSZ2-G099.55+34.23|171026.6|+684355|2.849463|5.34278|9.25010e-04|3.17404e-04|||||
476|PSZ2-G099.57-58.64|000346.8|+020313|3.786709|5.30325|1.04246e-03|3.30422e-04|0.092400|RXCJ0003.8+0203|2.238774|0.282160|0.301448
477|PSZ2-G099.62+14.86|203032.7|+650537|3.133235|5.54439|4.32306e-03|1.48877e-03|||||
478|PSZ2-G099.86+58.45|141442.8|+544701|1.494976|7.79464|1.14245e-03|2.77915e-04|0.630500|WHLJ213.697+54.78|6.846082|0.477337|0.494397
479|PSZ2-G100.04+23.73|190819.7|+690507|1.946847|6.43922|1.48139e-03|5.18597e-04|0.210300|RXCJ1908.3+6903|3.703402|0.283629|0.300868
480|PSZ2-G100.07+17.06|201421.4|+663642|2.939559|5.01178|1.25290e-03|5.35767e-04|||||
481|PSZ2-G100.14+41.67|155606.2|+662116|1.647304|8.32171|1.25149e-03|3.32199e-04|0.233900|RXCJ1556.1+6621|4.044270|0.267394|0.287724
483|PSZ2-G100.22+33.81|171340.6|+692224|2.627501|5.68790|1.25645e-03|4.76889e-04|||||
482|PSZ2-G100.22-29.64|232101.0|+291249|1.682374|7.05812|1.93456e-03|6.20942e-04|0.485000|WHLJ350.267+29.19|7.643378|0.555208|0.615727
484|PSZ2-G100.38+16.73|201843.5|+664211|5.669898|5.08381|6.05378e-03|3.42686e-03|||||
485|PSZ2-G100.45+16.79|201833.8|+664708|2.428863|11.78533|4.31339e-03|8.48400e-04|||||
486|PSZ2-G100.45-38.42|233631.5|+210907|2.428564|4.62064|7.09607e-03|4.33613e-03|0.056500|RXCJ2336.5+2108|1.844045|0.266122|0.280873
487|PSZ2-G100.80+24.61|190018.4|+695742|2.618355|7.02350|2.92551e-03|8.32462e-04|0.087700|RXCJ1900.4+6958|2.240968|0.172823|0.177222
488|PSZ2-G100.96-24.07|231323.6|+343447|2.428805|4.74681|1.26683e-03|5.09137e-04|0.424012||5.698100|0.684031|0.769346
489|PSZ2-G101.36+32.39|172742.7|+703539|3.955050|4.94466|1.41778e-03|1.00176e-03|0.305900|RXJ1727.4+7035|3.312784|0.323187|0.405981
490|PSZ2-G101.52-29.98|232623.1|+291933|2.428912|6.04112|1.89328e-03|7.73734e-04|0.227000|WHLJ351.609+29.36|4.878619|0.492055|0.539362
491|PSZ2-G101.55-59.03|000810.1|+020149|2.451114|6.11180|1.86655e-03|6.19039e-04|0.369455|RMJ000810.4+020112.3|5.720798|0.590136|0.623422
492|PSZ2-G101.68-49.21|235532.4|+112016|3.682375|6.17091|4.40160e-03|2.25359e-03|0.072600|RXCJ2355.6+1120|2.399462|0.251411|0.234284
493|PSZ2-G102.90-31.04|233312.5|+284604|5.093439|6.12440|2.54499e-03|7.48422e-04|0.591500||6.728717|0.659855|0.771546
494|PSZ2-G102.98-04.77|223449.7|+524335|1.422844|7.59287|1.59814e-03|3.53109e-04|||||
495|PSZ2-G103.40-32.99|233801.0|+270454|6.307459|7.14973|2.06194e-02|4.97807e-03|0.030900|RXCJ2338.4+2659|1.511933|0.126403|0.136366
496|PSZ2-G103.56+24.78|190440.4|+722709|2.428221|5.62727|6.29737e-04|1.76773e-04|0.330000||4.059032|0.467274|0.500702
497|PSZ2-G104.15-38.85|234848.4|+214325|2.193777|6.41452|1.49128e-03|3.72123e-04|||||
498|PSZ2-G104.29+26.17|184732.2|+731956|3.839429|4.66846|9.77499e-04|5.04754e-04|0.112500|RXCJ1847.2+7320|1.941149|0.282475|0.308707
499|PSZ2-G104.30-48.99|000156.1|+120441|2.418820|5.39621|1.63339e-03|5.75151e-04|0.203300|RXCJ0001.9+1204|4.107262|0.447796|0.505267
500|PSZ2-G104.52+39.39|155755.7|+702306|5.398787|4.59873|8.22834e-04|4.16338e-04|||||
501|PSZ2-G104.58-15.41|231150.0|+435301|5.285870|4.62935|1.36637e-03|4.34594e-04|||||
502|PSZ2-G104.71-54.54|000921.5|+064945|2.428643|5.90490|2.84561e-03|1.14042e-03|0.244062|RMJ000920.7+064923.1|4.898720|0.523988|0.506679
503|PSZ2-G104.74+40.42|154650.3|+695639|3.659137|4.57885|7.11764e-04|3.36140e-04|0.690000||4.253688|0.508658|0.580489
504|PSZ2-G104.98-54.79|001014.0|+063802|5.409690|4.64351|1.08537e-03|4.15015e-04|0.291234|RMJ001015.3+064045.0|4.798480|0.556026|0.593013
505|PSZ2-G105.00+39.68|155236.3|+703200|5.055665|4.97213|1.31731e-03|4.80741e-04|||||
506|PSZ2-G105.25-17.93|232014.3|+414713|2.211638|8.56164|6.33468e-03|1.73091e-03|0.140000|RXCJ2320.2+4146|4.585247|0.273582|0.280741
507|PSZ2-G105.40-50.43|000623.5|+105334|3.806420|5.89843|2.52317e-03|9.53684e-04|0.169800|RXCJ0006.3+1052|3.853959|0.405330|0.437557
508|PSZ2-G105.55+77.21|131101.1|+391447|5.058570|6.93177|4.12443e-03|9.27121e-04|0.072000|RXCJ1311.1+3913|2.196282|0.215014|0.228517
509|PSZ2-G105.76+54.73|141021.5|+594048|2.325437|6.03458|1.30821e-03|5.61310e-04|0.316000|BVH2007184|4.414105|0.425033|0.472488
510|PSZ2-G105.82-38.36|235334.3|+223444|1.296559|11.51047|5.01448e-03|7.58074e-04|||||
511|PSZ2-G105.94-16.14|232005.7|+434132|2.427538|4.61735|2.16544e-03|9.08143e-04|||||
512|PSZ2-G106.11+24.11|192124.3|+743322|2.521798|5.70250|1.36608e-03|5.21574e-04|||||
513|PSZ2-G106.15+25.75|185710.2|+745551|2.428912|4.88069|2.44649e-03|1.65735e-03|0.588000||4.911154|0.518902|0.575942
514|PSZ2-G106.21+26.32|184832.7|+750331|2.428890|4.90126|2.71340e-03|1.85303e-03|||||
515|PSZ2-G106.41+50.82|142515.6|+631110|2.428818|7.13821|2.42402e-03|8.95205e-04|0.139400|RXCJ1425.3+6311|2.887828|0.245458|0.246961
516|PSZ2-G106.48-10.42|231032.9|+491144|3.064294|5.40932|1.93806e-03|7.30807e-04|||||
517|PSZ2-G106.61+66.71|133032.5|+490911|2.428597|5.33447|1.08341e-03|4.34911e-04|0.331400|WHLJ202.623+49.14|4.674128|0.553170|0.569845
518|PSZ2-G106.87-83.23|004327.9|-203701|1.230611|12.65438|2.53977e-03|3.87814e-04|0.292400|RXCJ0043.4-2037|8.125670|0.373283|0.376402
519|PSZ2-G107.10+65.32|133242.6|+503106|1.290269|16.45694|6.19840e-03|7.27364e-04|0.279900|RXCJ1332.7+5032|8.217337|0.272736|0.282418
520|PSZ2-G107.11-39.50|235904.9|+214507|2.468956|5.52123|1.84898e-03|7.13263e-04|0.533030||6.929063|0.627809|0.706814
521|PSZ2-G107.39-31.48|235033.4|+293224|2.428800|5.15654|2.89029e-03|1.22728e-03|0.149800|RXCJ2350.5+2929|3.446907|0.431648|0.469079
522|PSZ2-G107.41-09.57|231347.0|+501932|2.428880|10.68771|6.60806e-03|1.25540e-03|||||
523|PSZ2-G107.66-58.32|001934.8|+033547|2.428894|7.62567|2.32084e-03|9.54982e-04|0.267000|ZwCl0017.0+0320|6.216138|0.480409|0.533825
524|PSZ2-G107.67-39.78|000112.5|+213535|2.428880|4.72506|1.80010e-03|7.79587e-04|0.415200|WHLJ0.322361+21.5|5.728785|0.704587|0.795530
525|PSZ2-G107.83-45.45|000734.9|+160751|1.654460|7.09463|1.12779e-03|1.55348e-04|||||
526|PSZ2-G108.13-09.21|231709.9|+505536|2.428903|9.10111|4.53379e-03|9.75716e-04|||||
527|PSZ2-G108.17-11.56|232228.2|+484429|2.428685|7.97640|4.16836e-03|1.14547e-03|0.336000||7.738726|0.569454|0.599662
528|PSZ2-G108.24+58.11|134855.2|+572049|2.428665|4.64587|1.12515e-03|5.72162e-04|0.321677|RMJ134851.6+572141.3|3.849495|0.508660|0.550292
529|PSZ2-G108.27+48.66|142706.6|+653910|2.404999|5.94718|1.52693e-03|5.11052e-04|0.674000||4.933684|0.472452|0.515098
530|PSZ2-G108.71-47.75|001214.2|+140135|2.418745|4.50874|1.24722e-03|5.77762e-04|0.371674||5.053808|0.671054|0.738638
531|PSZ2-G109.14-28.02|235308.8|+331648|3.797148|6.71901|1.43747e-03|3.61212e-04|0.457000|WHLJ358.303+33.26|6.919559|0.617525|0.623578
532|PSZ2-G109.22-44.01|001013.4|+174521|2.536738|4.54273|8.48274e-04|2.31566e-04|0.173052|RMJ001003.5+174614.9|3.262274|0.465010|0.501307
533|PSZ2-G109.52-19.16|234257.0|+415448|2.476475|5.94853|3.10548e-03|1.19580e-03|0.309200|WHLJ355.743+41.92|5.765161|0.477744|0.512245
534|PSZ2-G109.86+27.94|182319.9|+782321|2.204487|5.84821|9.95960e-04|3.09102e-04|0.400000||5.201621|0.444243|0.471047
535|PSZ2-G109.97+52.84|135944.5|+623141|2.233985|7.19941|2.00629e-03|6.45038e-04|0.325900|RXCJ1359.8+6231|4.814389|0.361434|0.392462
536|PSZ2-G109.99-70.28|003356.8|-075110|2.438877|6.86662|3.42346e-03|9.93362e-04|0.304487|RMJ003353.1-075210.4|5.622478|0.535831|0.576939
537|PSZ2-G110.28-87.48|004900.8|-244013|2.428775|6.56480|1.96445e-03|6.44123e-04|0.520000|Vidal14|7.173761|0.592014|0.649847
538|PSZ2-G110.69-46.25|001623.8|+154706|5.573167|5.04812|2.24253e-03|1.09048e-03|||||
539|PSZ2-G110.98+31.73|170424.1|+783757|1.233742|40.75489|3.00851e-02|1.52637e-03|0.058100|RXCJ1703.8+7838|6.210739|0.101287|0.091519
540|PSZ2-G111.61-45.71|001834.8|+162600|1.284764|9.68021|3.36988e-03|6.61946e-04|0.545600|RXCJ0018.5+1626|9.793704|0.529332|0.531497
541|PSZ2-G111.75+70.37|131303.4|+461652|2.205822|8.31206|3.13236e-03|6.38937e-04|0.183000|RXCJ1313.1+4616|4.342518|0.320323|0.330492
542|PSZ2-G112.07-39.86|001529.5|+221444|2.428612|5.72015|7.19424e-03|2.92365e-03|||||
543|PSZ2-G112.35-32.86|001045.2|+291002|2.428765|5.09694|1.90293e-03|7.16564e-04|0.348114|RMJ001051.4+290940.2|5.499069|0.629985|0.721555
544|PSZ2-G112.48+56.99|133558.4|+591315|2.046844|12.32663|8.45842e-03|1.46630e-03|0.070100|RXCJ1336.1+5912|2.991135|0.146647|0.155373
545|PSZ2-G112.54+59.53|132954.2|+564844|2.428197|5.37342|7.12182e-04|1.99108e-04|||||
546|PSZ2-G112.69+33.37|162024.5|+791054|2.428906|4.62577|6.87555e-04|2.76598e-04|||||
547|PSZ2-G113.02-64.68|003432.6|-020819|2.428427|6.18288|7.72020e-03|2.85691e-03|0.081200|RXCJ0034.6-0208|2.326696|0.240383|0.284007
548|PSZ2-G113.27+48.39|135858.7|+672635|2.006443|5.30067|6.27605e-04|2.51748e-04|||||
549|PSZ2-G113.29-29.69|001144.7|+322557|2.537992|8.14862|5.84315e-03|1.43184e-03|0.107300|RXCJ0011.7+3225|3.710075|0.264699|0.268743
550|PSZ2-G113.81+44.35|141408.0|+711656|1.475818|10.92729|1.86252e-03|3.71932e-04|0.225000|A1895|4.627713|0.233918|0.235536
551|PSZ2-G113.91-37.01|001936.1|+251747|1.957074|8.15114|2.42833e-03|6.40599e-04|0.371187|RMJ001941.3+251807.3|7.582247|0.537199|0.559081
552|PSZ2-G114.14+58.96|132513.6|+573500|3.497801|4.74562|9.13078e-04|3.24312e-04|0.115583|RMJ132511.2+573601.6|2.171770|0.286468|0.309848
553|PSZ2-G114.31+64.89|131503.8|+514958|2.428344|11.10580|3.14645e-03|5.99957e-04|0.283600|RXCJ1315.1+5149|6.761312|0.355215|0.375014
555|PSZ2-G114.39-20.98|000900.5|+411041|2.579779|5.92432|2.58956e-03|8.05685e-04|0.153700|ZwCl28|3.812736|0.343965|0.359500
554|PSZ2-G114.39-60.16|003429.3|+022521|2.428301|5.65848|4.33812e-03|1.82984e-03|0.368318|RMJ003428.2+022522.6|5.775038|0.629575|0.684139
556|PSZ2-G114.79-33.71|002035.0|+283957|1.902080|9.35778|5.79740e-03|1.28060e-03|0.094000|RXCJ0020.6+2840|3.824416|0.222066|0.226361
557|PSZ2-G114.81-11.80|000130.2|+501631|5.430762|4.56817|1.58301e-03|8.28314e-04|0.250000||4.431402|0.581263|0.596468
558|PSZ2-G114.83+57.25|132547.0|+591950|2.265430|6.40137|1.91423e-03|5.88962e-04|0.169517|RMJ132549.7+591949.0|3.273393|0.300642|0.308485
559|PSZ2-G114.90-34.35|002124.6|+280302|3.769880|4.77789|2.80627e-03|1.66758e-03|0.094800|RXCJ0021.5+2803|2.472321|0.309347|0.338174
560|PSZ2-G114.98+19.10|215535.8|+790912|2.208425|5.35338|1.57818e-03|7.68553e-04|||||
561|PSZ2-G114.99+70.36|130654.9|+463133|1.689177|10.04299|2.92824e-03|5.60376e-04|0.225900|RXCJ1306.9+4633|5.702224|0.349741|0.350352
562|PSZ2-G115.25-72.07|004153.2|-092047|1.591724|22.75964|3.07827e-02|2.61536e-03|0.055500|RXCJ0041.8-0918|4.918354|0.127318|0.146349
563|PSZ2-G115.34-54.89|003352.0|+074319|2.404430|4.69961|8.29912e-04|1.89943e-04|||||
564|PSZ2-G115.58-44.56|002926.9|+175941|2.428605|6.84713|5.72954e-03|1.79981e-03|0.170000||4.316092|0.370985|0.422482
565|PSZ2-G115.65+41.66|141313.5|+741731|2.428903|4.71381|1.39697e-03|7.51632e-04|0.219500|NSCJ141240+741755|2.894835|0.374936|0.444246
566|PSZ2-G115.67-27.57|002004.1|+345110|5.329835|4.54319|2.00980e-03|8.32265e-04|0.457297|RMJ002008.5+345118.2|5.312188|0.719358|0.780440
567|PSZ2-G115.72+44.03|135946.1|+720716|2.428699|7.11094|1.63169e-03|4.84341e-04|0.214300|RXCJ1400.2+7207|3.778043|0.323546|0.339246
568|PSZ2-G116.05+20.00|215947.1|+802927|11.033415|5.16232|1.46430e-02|4.71717e-03|||||
569|PSZ2-G116.24-72.94|004329.3|-101031|2.978666|5.02964|8.70187e-04|1.94201e-04|0.501893|RMJ004330.7-101009.1|5.874784|0.706355|0.745018
570|PSZ2-G116.32-36.33|002743.1|+261414|7.151140|5.28458|5.13348e-03|2.87763e-03|0.366800|RXCJ0027.8+2616|5.309893|0.680943|0.583706
571|PSZ2-G116.50-44.47|003208.3|+180913|2.428407|7.71289|2.04920e-03|7.26500e-04|0.395647|RMJ003208.2+180625.3|7.608656|0.567284|0.627481
572|PSZ2-G116.79-09.85|001133.8|+523226|4.529166|5.24055|4.30955e-03|1.28860e-03|0.104000|ZwCl0008.8+5215|3.357418|0.319482|0.341333
573|PSZ2-G116.95-53.55|003704.1|+090913|2.428843|8.40089|2.15717e-03|5.24913e-04|0.254600|RXCJ0037.0+0909|6.433114|0.455544|0.465808
574|PSZ2-G117.11+11.48|232956.8|+732600|5.110498|5.13799|5.17693e-03|1.94844e-03|||||
575|PSZ2-G117.38-52.47|003742.4|+101455|5.060975|5.45834|2.48006e-03|8.99697e-04|||||
576|PSZ2-G117.98-55.88|004016.1|+065246|2.428290|6.45055|1.27721e-02|4.42522e-03|0.039500|A76|1.668487|0.175442|0.182399
577|PSZ2-G118.03+31.10|155502.5|+840949|2.639748|6.58282|2.96131e-03|6.98527e-04|0.194000||4.331743|0.335178|0.342707
578|PSZ2-G118.34+68.79|130123.6|+481431|2.428909|4.98433|1.27986e-03|5.95983e-04|0.254879|RMJ130122.0+481545.0|3.774225|0.454571|0.517971
579|PSZ2-G118.39+42.22|134157.1|+742705|2.323138|7.45455|8.37509e-04|1.89769e-04|0.478000||5.507178|0.435272|0.438684
580|PSZ2-G118.46+39.32|135446.6|+771452|2.332866|8.14613|1.52181e-03|3.52266e-04|0.396700|RXCJ1354.6+7715|6.004693|0.377127|0.400665
581|PSZ2-G118.49+48.17|132404.8|+684008|2.927034|5.16194|1.04311e-03|4.07241e-04|||||
582|PSZ2-G118.56-13.14|002514.4|+493008|5.328091|4.62775|2.26147e-03|1.04140e-03|||||
583|PSZ2-G118.58+28.57|172455.4|+855328|2.428910|10.06761|2.83654e-03|6.41551e-04|0.178000|RXCJ1723.7+8553|5.982977|0.367133|0.374177
584|PSZ2-G118.79+47.50|132312.8|+692149|2.907882|5.18626|8.80464e-04|3.28955e-04|||||
585|PSZ2-G118.92+52.38|131412.3|+643351|1.881753|8.47002|1.82335e-03|4.57159e-04|0.220000|RXCJ1314.4+6434|4.387726|0.295729|0.291754
586|PSZ2-G119.30-64.68|004514.4|-015127|2.375703|5.07692|1.45369e-03|6.96659e-04|0.556769|RMJ004512.5-015231.7|6.371614|0.699430|0.742370
587|PSZ2-G119.38+46.85|131956.3|+700426|2.903068|6.09822|2.58969e-03|9.10997e-04|0.327500|RXCJ1320.0+7003|4.107369|0.392874|0.433951
588|PSZ2-G119.92+59.12|130303.4|+575600|1.379415|6.82543|7.80316e-04|1.26452e-04|0.196100|RXCJ1303.0+5756|3.437462|0.326515|0.329969
589|PSZ2-G120.08-44.41|004251.6|+182426|5.258660|4.76384|2.39852e-03|1.14024e-03|0.266800|WHLJ10.6526+18.42|4.646910|0.626863|0.644465
590|PSZ2-G120.30+44.47|131628.6|+723127|2.244287|5.31403|5.49939e-04|1.45638e-04|||||
